geometry,@id,description,landuse,man_made,name,operator,operator:wikipedia,website,building,ref:bag,source,source:date,start_date,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,heritage,note,substance,wikidata,wikimedia_commons,wikipedia,architect,heritage:operator,ref,historic,pumping_station,full_name,height,alt_name,access,layer,ref:rce,location,operator:wikidata,basin,building:levels:underground,capacity,product,natural,water,area,phone,entrance,drinking_water,pump,pump:status,pipeline,substation,handle,mechanical_driver,pump_mechanism
"POLYGON ((4.869685 52.404422, 4.8696562 52.4044004, 4.8696705 52.4043933, 4.8696993 52.4044149, 4.869685 52.404422))",way/859431157,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8700717 52.4068365, 4.8700545 52.4067819, 4.8700963 52.406777, 4.8701135 52.4068316, 4.8700717 52.4068365))",way/859442995,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8665759 52.3841874, 4.8658715 52.3841011, 4.8663247 52.382903, 4.8669723 52.3829934, 4.8675563 52.3830762, 4.8672458 52.3839113, 4.8672296 52.3839806, 4.8666893 52.3839024, 4.8665759 52.3841874))",way/861224465,,industrial,pumping_station,Pompstation Haarlemmerweg,Waternet,,https://www.waternet.nl/,,,,,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8568606 52.4094017, 4.856865 52.4093825, 4.8568831 52.4093841, 4.8568786 52.4094033, 4.8568606 52.4094017))",way/862768430,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8532548 52.4104581, 4.8532694 52.4104492, 4.8532793 52.4104552, 4.8532647 52.4104641, 4.8532548 52.4104581))",way/862825964,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8532103 52.4104559, 4.8532234 52.4104477, 4.8532352 52.4104547, 4.8532222 52.4104629, 4.8532103 52.4104559))",way/862825965,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8532414 52.4104507, 4.8532295 52.4104438, 4.8532645 52.4104217, 4.8532763 52.4104287, 4.8532414 52.4104507))",way/862825966,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8536908 52.4107372, 4.8537013 52.4107303, 4.8537132 52.4107372, 4.8537027 52.410744, 4.8536908 52.4107372))",way/862825970,,,pumping_station,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8537406 52.4107216, 4.8537566 52.4107112, 4.8537685 52.4107181, 4.8537525 52.4107284, 4.8537406 52.4107216))",way/862825972,,,pumping_station,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8512905 52.4101137, 4.851299 52.4101034, 4.8513128 52.4101076, 4.8513043 52.4101179, 4.8512905 52.4101137))",way/863260573,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8517938 52.404906, 4.8518087 52.404899, 4.8518361 52.4049209, 4.8518211 52.4049278, 4.8517938 52.404906))",way/865644690,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8419974 52.4056155, 4.8421624 52.4055413, 4.8422101 52.4055807, 4.8422514 52.4056149, 4.8420863 52.4056891, 4.8419974 52.4056155))",way/865988979,,,pumping_station,,Vattenfal,,,yes,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.832766 52.4099991, 4.8328905 52.4099434, 4.8329397 52.4099844, 4.8328152 52.4100401, 4.832766 52.4099991))",way/867742398,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8292541 52.4106744, 4.8292435 52.4106679, 4.8292601 52.4106578, 4.8292707 52.4106642, 4.8292541 52.4106744))",way/867961154,,,pumping_station,,Waternet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8292892 52.4106661, 4.8292751 52.4106574, 4.8292972 52.4106439, 4.8293114 52.4106526, 4.8292892 52.4106661))",way/867961155,,,pumping_station,,Waternet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8293065 52.4174279, 4.8293042 52.4174193, 4.8293228 52.4174175, 4.8293251 52.417426, 4.8293065 52.4174279))",way/870819152,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8293274 52.4174141, 4.8293239 52.417401, 4.8293522 52.4173981, 4.8293557 52.4174112, 4.8293274 52.4174141))",way/870819153,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.822447 52.4172303, 4.8224551 52.4172125, 4.8224721 52.4172154, 4.822464 52.4172331, 4.822447 52.4172303))",way/874041306,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8305041 52.4079085, 4.8304952 52.4079009, 4.8305069 52.4078959, 4.8305158 52.4079035, 4.8305041 52.4079085))",way/875734372,,,pumping_station,,Waternet,,,yes,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,underground,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8304668 52.4079022, 4.8304498 52.4078875, 4.8304678 52.4078798, 4.8304848 52.4078944, 4.8304668 52.4079022))",way/875734373,,,pumping_station,,Waternet,,,yes,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,surface,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8262202 52.4003344, 4.8262199 52.4003217, 4.8262364 52.4003216, 4.8262367 52.4003343, 4.8262202 52.4003344))",way/878925469,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8367907 52.3926608, 4.8368031 52.3926496, 4.8368248 52.3926585, 4.8368124 52.3926698, 4.8367907 52.3926608))",way/884668433,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,surface,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8397397 52.3988605, 4.8397775 52.3988498, 4.8397957 52.3988735, 4.8397877 52.3988758, 4.8397922 52.3988817, 4.8397624 52.3988902, 4.8397397 52.3988605))",way/889289223,,,pumping_station,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8492148 52.3986331, 4.8492486 52.3986182, 4.8492614 52.3986305, 4.849229 52.3986452, 4.8492148 52.3986331))",way/908903483,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8497675 52.39661, 4.8497696 52.3965808, 4.8497889 52.3965813, 4.8497887 52.3965834, 4.849809 52.3965839, 4.8498091 52.3965819, 4.8498233 52.3965823, 4.8498224 52.3965953, 4.8498097 52.396595, 4.8498085 52.3966111, 4.8497675 52.39661))",way/909252109,,,pumping_station,,Waternet,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8561921 52.3368929, 4.8556846 52.3368943, 4.8552309 52.3368639, 4.8552354 52.3345874, 4.8559647 52.3345872, 4.8559666 52.3343643, 4.8571169 52.3343648, 4.8571067 52.3350446, 4.8570828 52.3368905, 4.8567922 52.3368913, 4.8567844 52.3365047, 4.8565608 52.3365035, 4.8562128 52.3365865, 4.8561958 52.3366038, 4.8561921 52.3368929))",way/970591874,,industrial,pumping_station,Pompstation Amstelveenseweg,Waternet,,https://www.waternet.nl/,,,,,,,,,,,,,,,File:Pompstation_Amstelveenseweg.jpg,,,,,,,,,,,,,,Q2137469,,,,,,,,,,,,,,,,,
"POLYGON ((4.9520194 52.3510725, 4.9520219 52.3510708, 4.9520333 52.3510632, 4.9520452 52.35107, 4.9520313 52.3510792, 4.9520194 52.3510725))",way/1001189521,,,pumping_station,,,,,yes,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.949812 52.3500148, 4.9498262 52.3500056, 4.9498529 52.350021, 4.9498386 52.3500302, 4.949812 52.3500148))",way/1005228210,,,pumping_station,,,,,yes,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,surface,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9501942 52.3471634, 4.950167 52.3471477, 4.9501851 52.3471358, 4.9502123 52.3471515, 4.9501942 52.3471634))",way/1005627485,,,pumping_station,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.951386 52.3461767, 4.9513953 52.3461708, 4.9514043 52.3461761, 4.951395 52.346182, 4.951386 52.3461767))",way/1007644162,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9394459 52.3470051, 4.939433 52.3469967, 4.9394199 52.3469882, 4.9394482 52.346972, 4.9394742 52.346989, 4.9394459 52.3470051))",way/1081688196,,,pumping_station,,,,,yes,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9560047 52.3534082, 4.9560333 52.353392, 4.9560533 52.353405, 4.9560247 52.3534213, 4.9560047 52.3534082))",way/1082580966,,,pumping_station,,,,,,,,,,,,,,,,,gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.954954 52.3560105, 4.9549693 52.3560198, 4.954973 52.3560221, 4.9549632 52.356028, 4.9549442 52.3560165, 4.954954 52.3560105))",way/1082989643,,,pumping_station,,Waternet,,,,,,,,,,,,,,,sewage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9549368 52.3559979, 4.9549245 52.3560056, 4.95492 52.3560084, 4.9549072 52.3560009, 4.954924 52.3559903, 4.9549368 52.3559979))",way/1082989644,,,pumping_station,,Waternet,,,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9591957 52.3551504, 4.959215 52.3551322, 4.9592358 52.3551405, 4.9592164 52.3551586, 4.9591957 52.3551504))",way/1088915708,,,pumping_station,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9571616 52.3569674, 4.9572084 52.3569623, 4.9572196 52.3570027, 4.9571727 52.3570072, 4.9571616 52.3569674))",way/1089070329,,,pumping_station,,Waternet,,,,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9571852 52.3569797, 4.9571828 52.3569705, 4.9572007 52.3569687, 4.9572031 52.356978, 4.9571852 52.3569797))",way/1089314901,,,pumping_station,,Waternet,,,,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9561769 52.3568381, 4.9561948 52.3568259, 4.956218 52.3568386, 4.9562001 52.3568508, 4.9561769 52.3568381))",way/1089314904,,,pumping_station,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9525044 52.3556889, 4.9525198 52.3556781, 4.9525398 52.3556887, 4.9525244 52.3556995, 4.9525044 52.3556889))",way/1089725575,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.952864 52.3557194, 4.9528835 52.3557066, 4.9529125 52.355723, 4.952893 52.3557358, 4.952864 52.3557194))",way/1089738856,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9529933 52.3556335, 4.9530028 52.3556275, 4.9530139 52.3556339, 4.9530044 52.35564, 4.9529933 52.3556335))",way/1089738857,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9529746 52.3556225, 4.9529841 52.3556164, 4.9529952 52.3556229, 4.9529857 52.355629, 4.9529746 52.3556225))",way/1089738858,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9510047 52.3565874, 4.9510235 52.3565759, 4.9510431 52.3565879, 4.9510243 52.3565994, 4.9510047 52.3565874))",way/1089748964,,,pumping_station,,Waternet,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9546554 52.3566211, 4.954665 52.3566151, 4.9546734 52.35662, 4.9546638 52.3566261, 4.9546554 52.3566211))",way/1089818742,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9546418 52.3566131, 4.9546514 52.356607, 4.9546598 52.356612, 4.9546502 52.356618, 4.9546418 52.3566131))",way/1089818743,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9545486 52.3565877, 4.954559 52.3565809, 4.9545706 52.3565876, 4.9545602 52.3565943, 4.9545486 52.3565877))",way/1089818744,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9552096 52.3570377, 4.9552248 52.3570279, 4.9552416 52.3570375, 4.9552265 52.3570474, 4.9552096 52.3570377))",way/1089819849,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9548531 52.3568165, 4.9548682 52.3568067, 4.9548851 52.3568163, 4.95487 52.3568262, 4.9548531 52.3568165))",way/1089819850,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9512266 52.356877, 4.9512528 52.3568779, 4.9512513 52.356895, 4.9512251 52.3568942, 4.9512264 52.356879, 4.9512266 52.356877))",way/1089939091,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9495648 52.3558016, 4.9495813 52.3557921, 4.9495964 52.3558019, 4.9495799 52.3558114, 4.9495648 52.3558016))",way/1090189528,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9494757 52.3558172, 4.9495031 52.3558014, 4.9495213 52.3558131, 4.9494939 52.3558289, 4.9494757 52.3558172))",way/1090189529,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9493762 52.3558028, 4.9493866 52.3557962, 4.9493969 52.3558022, 4.9493866 52.3558089, 4.9493762 52.3558028))",way/1090189530,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9493569 52.355814, 4.9493672 52.3558074, 4.9493776 52.3558135, 4.9493672 52.3558201, 4.9493569 52.355814))",way/1090189531,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9464975 52.3573265, 4.9465078 52.3573205, 4.9465174 52.3573266, 4.946507 52.3573326, 4.9464975 52.3573265))",way/1090785125,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9456401 52.3577326, 4.9456372 52.3577125, 4.9456697 52.3577108, 4.9456726 52.3577309, 4.9456401 52.3577326))",way/1091187023,,,pumping_station,,Waternet,,,yes,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9484247 52.3561363, 4.9484327 52.3561313, 4.9484412 52.3561364, 4.9484332 52.3561414, 4.9484247 52.3561363))",way/1091187059,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9438474 52.3572162, 4.9438378 52.3572088, 4.9438498 52.3572029, 4.9438595 52.3572104, 4.9438474 52.3572162))",way/1091227699,,,pumping_station,,Waternet,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9437976 52.3572164, 4.9438206 52.3572053, 4.94384 52.3572201, 4.943817 52.3572313, 4.9437976 52.3572164))",way/1091227700,,,pumping_station,,Waternet,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9471374 52.3567006, 4.9471223 52.3566914, 4.9471377 52.356682, 4.9471528 52.3566913, 4.9471374 52.3567006))",way/1091848849,,,pumping_station,,,,,,,,,,,,,,,,,sewage,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9471082 52.3567159, 4.9470858 52.3567022, 4.9471089 52.3566881, 4.9471313 52.3567018, 4.9471082 52.3567159))",way/1091848850,,,pumping_station,,,,,,,,,,,,,,,,,sewage,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9505524 52.3543315, 4.9505371 52.3543226, 4.95055 52.3543143, 4.9505503 52.354314, 4.9505506 52.3543142, 4.9505657 52.354323, 4.9505524 52.3543315))",way/1092105417,,,pumping_station,,Waternet,,,,,,,,,,,,,,,sewage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9506066 52.3543741, 4.9505947 52.3543673, 4.950605 52.3543607, 4.9506168 52.3543676, 4.9506066 52.3543741))",way/1092105418,,,pumping_station,,Waternet,,,,,,,,,,,,,,,sewage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9603389 52.3543899, 4.9603727 52.35437, 4.9603861 52.3543784, 4.9603522 52.3543984, 4.9603389 52.3543899))",way/1093524142,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9606459 52.3541966, 4.9606742 52.3541799, 4.9606933 52.354192, 4.960665 52.3542087, 4.9606459 52.3541966))",way/1093524143,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9615429 52.3537882, 4.9615544 52.3537785, 4.9615804 52.35379, 4.9615689 52.3537997, 4.9615429 52.3537882))",way/1093524144,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9617693 52.3538951, 4.9617833 52.3538856, 4.9618069 52.3538985, 4.9617929 52.353908, 4.9617693 52.3538951))",way/1093524145,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9620006 52.3540075, 4.9620142 52.3539979, 4.9620383 52.3540106, 4.9620247 52.3540202, 4.9620006 52.3540075))",way/1093524146,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9622379 52.3541207, 4.9622519 52.354111, 4.9622757 52.3541238, 4.9622617 52.3541336, 4.9622379 52.3541207))",way/1093524147,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9624527 52.3542214, 4.9624673 52.3542127, 4.9624885 52.3542259, 4.9624739 52.3542347, 4.9624527 52.3542214))",way/1093524148,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9626691 52.3543248, 4.9626837 52.3543154, 4.9627066 52.3543287, 4.962692 52.3543381, 4.9626691 52.3543248))",way/1093524149,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9612326 52.3553677, 4.9612581 52.3553781, 4.9612467 52.3553885, 4.9612213 52.3553781, 4.9612326 52.3553677))",way/1093524150,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,underground,,,,,,,,,,,,,,,,,,
"POLYGON ((4.960935 52.3552463, 4.9609469 52.3552368, 4.9609709 52.3552481, 4.9609591 52.3552575, 4.960935 52.3552463))",way/1093524151,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,underground,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9607247 52.3551447, 4.9607045 52.3551304, 4.9607209 52.3551218, 4.9607411 52.355136, 4.9607247 52.3551447))",way/1093524152,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,underground,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9604738 52.3549836, 4.9604527 52.3549702, 4.9604658 52.3549626, 4.9604868 52.354976, 4.9604738 52.3549836))",way/1093524153,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,underground,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9602335 52.354823, 4.9602127 52.3548098, 4.9602286 52.3548005, 4.9602494 52.3548137, 4.9602335 52.354823))",way/1093524154,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,underground,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9601566 52.3547346, 4.9601326 52.3547174, 4.9601495 52.3547086, 4.9601735 52.3547257, 4.9601566 52.3547346))",way/1093524155,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,underground,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9594322 52.3548763, 4.9594446 52.3548687, 4.959457 52.3548762, 4.9594446 52.3548838, 4.9594322 52.3548763))",way/1093603435,,,pumping_station,,Waternet,,,yes,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.959394 52.354888, 4.9594171 52.3548737, 4.9594396 52.3548873, 4.9594165 52.3549016, 4.959394 52.354888))",way/1093603436,,,pumping_station,,Waternet,,,yes,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.960032 52.3546187, 4.9600311 52.3545986, 4.9600498 52.3545983, 4.9600507 52.3546184, 4.960032 52.3546187))",way/1093620241,,,pumping_station,,Waternet,,,yes,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,underground,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9597761 52.3543586, 4.959787 52.3543514, 4.9598051 52.3543616, 4.9597943 52.3543688, 4.9597761 52.3543586))",way/1093642682,,,pumping_station,,Waternet,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.952411 52.3663277, 4.9524112 52.3663157, 4.9524245 52.3663157, 4.9524244 52.3663277, 4.952411 52.3663277))",way/1108116324,,,pumping_station,,Waternet,,,yes,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9841677 52.3131203, 4.9841789 52.3131074, 4.9841939 52.3131127, 4.9842041 52.3131017, 4.9842347 52.3131124, 4.9842245 52.3131233, 4.9842406 52.313129, 4.9842288 52.3131416, 4.9841677 52.3131203))",way/1121671772,,,pumping_station,,Waternet,,,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9846776 52.3112912, 4.9846633 52.3112862, 4.984687 52.3112607, 4.9846996 52.3112471, 4.9847379 52.3112604, 4.9847016 52.3112995, 4.9846776 52.3112912))",way/1122597627,,,pumping_station,,Waternet,,,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8948832 52.4223437, 4.8949081 52.4223072, 4.8949579 52.4223199, 4.8949328 52.4223564, 4.8948832 52.4223437))",way/1123188138,,,pumping_station,,Waternet,,,,,,,,,,,,,,,sewage,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9896971 52.3108589, 4.9897148 52.3108567, 4.9897293 52.3108549, 4.9897309 52.3108598, 4.9897205 52.3108611, 4.9897163 52.3108617, 4.9897137 52.310862, 4.9896987 52.3108638, 4.9896971 52.3108589))",way/1131176886,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9300029 52.401999, 4.9300262 52.401995, 4.9300348 52.4020137, 4.9300321 52.4020141, 4.930015 52.4020171, 4.9300114 52.4020177, 4.9300029 52.401999))",way/1132048715,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8704525 52.3993258, 4.8704579 52.3993159, 4.8704741 52.3993192, 4.8704686 52.3993291, 4.8704525 52.3993258))",way/1134067777,,,pumping_station,,,,,yes,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8794172 52.39531, 4.8794337 52.3952973, 4.8794533 52.3953068, 4.8794368 52.3953195, 4.8794172 52.39531))",way/1134344951,,,pumping_station,,Waternet,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8759442 52.3937899, 4.8759442 52.3937746, 4.8759702 52.3937746, 4.8759702 52.3937899, 4.8759442 52.3937899))",way/1134367409,,,pumping_station,,Waternet,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8236992 52.3468102, 4.8236982 52.3467912, 4.8237294 52.3467906, 4.8237304 52.3468096, 4.8236992 52.3468102))",way/1159355867,,,pumping_station,,Waternet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9007885 52.3876269, 4.9008106 52.3875854, 4.900879 52.3875991, 4.9008568 52.3876405, 4.9007885 52.3876269))",way/1206331031,,,pumping_station,,,,,,,,,,,,,,,,,hot_water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9005168 52.3875771, 4.9005385 52.3875374, 4.900604 52.3875507, 4.9005823 52.3875904, 4.9005168 52.3875771))",way/1206331032,,,pumping_station,,,,,,,,,,,,,,,,,hot_water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9052163 52.384178, 4.9052369 52.3841612, 4.9052605 52.3841721, 4.9052399 52.3841888, 4.9052163 52.384178))",way/1208889165,,,pumping_station,,Waternet,,,yes,,,,,,,,,,,,water,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
